image_name,ocr_text,corrected_text,tokens,labels,
test_20260614_134101_jpg.rf.31291d284c56619b567920454c551aef_0.jpg,"제품명 고구마형과자 내용량 162 @ 식품유형| 과자(유탕처리제품) (업소명 (주) 코스모스제과 / 경기다꿀 '소저제주사 진접습 플강픽 kI http:llwww csms co (스비기한|후면표기일까지 판 ""to SII [민구#말늄지국 d-토코페 '엿 딱 새 98 % , (원재료명 1 청제소 크림해 알 남압 960번길 '캐나다) '창[팔록렉인유 (발렉8,1o ; l(혼합히] 탓 콩대문(한로_ Uo; 물 글리 '씨해",인식 불가,,,unreadable
test_20260614_134258_jpg.rf.b5b5e0a48f4851716aefd7995d3e7d70_0.jpg,"린0 말리 기타 댁린 힘유 @로움점일행 한천 '힘유제 조건제어모제베진로생승 %) (8959% l출 다요시설사트 일일길숲 플발콤플해탓 @혼고등 국번 M개류물전부 홍합 또 보심 가능 부덤 및 l사관신올 피하여 실문 텅각 '제조권 G5 산도조질제] P고""' '536 스고 {감미료) 식용유지가]품 산도조절제? 되지고기루송야 복숨이능-액 당알코올 171 D 말리돌 '알코올말터늄액  있습니다 '고등어계점; , ""ui자kdy 모람) 잔 신고 교다 CtA 묻람식문 3311 반조 '고개지경센터 (070)4637 2023",인식 불가,,,unreadable
test_20260614_134750_jpg.rf.e796a2b61a281428b46f40cd451e9482_0.jpg,50 5 제1  (국색스 Ne 밀 우유 대륙 [소비기화 |말런 또기히하집물표보고a IIYAMOe 포장재질|몰리프로필로내포장면 해태제과식품(주) / 천안2공장 (제 조원 |중법 천요스 지률- |울 n@호 [유통전문 올림언해대짚구 [길 기히하다 '용신구 컬리다 [판 매 원 및 '본 미벼 '38* #8 곳 *이 '생격 주 내내' '하안 7 k 소골되다 벌스가' 사사)  주 스틱 NKy {관틱 [제품명 [포키 극세식품유다 조골렉가공품 [원재료명 및 '당 코코아매스데덜관드산) 가공유제성가교로산  합량 | [밀가루밀호주산 소트님 떠gP 코코아버터; W? '미국신 Sv '정제소금. 유화제2 흔합제제치자황색소 유화제] '항금 8대터 산도조절제2 효모 호소제 정제수 프로미 하& 이황산류 한강대로 서울특별시  충륭이 서늘히고 피하여 습기찬 곳을 '공성거대워원화  세물은 직사광선 ((KU ` '요금부럼 ( 주십시오 '수신자 보관하여 W '고객만족실: '국번없이 곳에 N3r 도미도] 피해보상 신고는 '세중온 '불랑식품 = (의거 힘으나 '있습니다 ` '부정' 구입한 '세조하고 보다하스 6677) ' #년송이 . 'U이하로 보사 및 I석예서 불하이터,"밀, 우유, 대두, 아황산류 함유",밀|우유|대두|아황산류|함유,B-WHEAT|B-MILK|B-SOY|O|O,readable
test_20260614_134912_jpg.rf.fa9ad12d1b6eec77586399144cf94d52_0.jpg,"용세의 35버i생인 Gni 농빛 Orone 용 LOTT 1952 E내a내교레교 ESnP 퀴T [지발 재조판매인 '켓가필문 '선탕 코 늘틱 11m5 '유표움;가궁무자-거WE 국신) @대타유유 88 % 합심 남비 '구멍 심심 말 예반 03 % 곳예 진 무:  '깨내 보심 시한반 '반집이 생길 수 8 ""801062' 및 #없이 녹아 히안 교민 유n 춤 '신고트 국 없이 }리늄 버문 미a '부점; 고문 마련 만 가능 유지 하 k입 제료 실이I IIUI 10o VO (영양정보 (10030306010121 {리프로-데 경기대로 진위면 '미국신 전멋 식도 법그럭 핑버시 #기인까지언 김기도 '11 920 k데랜무드(주) ` '코야분밥| 인기리밥 '딱스테다리R업 소비기 '곤함문유; (끝분변유 n유 그데스U다 R1미국신) , 소드님) (기공유지 '메y미로) 골렉기공유세싱가포고산 , 식즌유임 손입분유]  0-소비터 '?함식용유(경화유) { (정제수 합요끓} {전리객 {정비소금 손함분유유그레국내신 , {인재료임 (선탕; 가공유재싱가꾸른산) , 신M 쇼드님(기3유지; {유청단내분마 신5조 심제23, {유Y미 '기타선틱(실탕 전분) '기타코 코아가공품 플래인유) , '기타가공품 주정0  '본사계서 고남지원5터 유라세2중 변질감은 드시도 무대하다 '인헤예 '청류주0 있의u ""8c26 의합 피배 '소비자기본번예 습기루 '식사관선 ' 1399 조|릿 붙람식협 '뻔심습니다: 돼지고기 { #]_자다 ZEC 야채 야채","밀, 대두, 우유, 땅콩, 달걀, 쇠고기 함유",밀|대두|우유|땅콩|달걀|쇠고기|함유,B-WHEAT|B-SOY|B-MILK|B-PEANUT|B-EGG|O|O,readable
test_20260614_135034_jpg.rf.fce49c5fd42aff4cf8d899b8ab9138c2_0.jpg,00 8  3 '어쨌리? 눈말 40 셋 233 (행점 '의한 유 힘 8 '7후리로L보 6 명 758 % ASI23tzgyligrg oTDDSU2 (생포로사 올리기유 조릿공품 '유화지 5린 학심 [가공유제경의유) 비E오다 17399. 냄저 '소비지기밥벌다 요이다 [명양정보 62876 '지도함위 LmPI '직장선및 y시고L Ia 내L꾸다 {보움 [물E 내용량 Doo피 EmDal Ey배Og 349 190 kcal I5q 'B0SX [`기,"우유, 밀, 대두 함유",우유|밀|대두|함유,B-MILK|B-WHEAT|B-SOY|O,readable
train_20260614_133326_jpg.rf.4f05b90e1231f0a37a569ad728219b9b_0.jpg,"CKOWN TI Sigran& 도 RUlBIlRGCOIII 기으 끓미의 F 플 바x시니처 불런드 운산 C( 앞영 이미N에 너거린 219 8"" 소I 소비기신 만기_끼기 엉양정보 NU N뇌 37 kcal 그스 커피 미(지t기이 ""미 """"새"" '리n '시다 '미7대 고기 미과 I09팀 가스L ATAIISI 소속 '증기 대무구 신@-T"" ""7 "" 소끼시 {w리이지이신 ,미a 무 나SU IWmn M키만 마르다' 계자 ;재끗자품-a 자? UUI 고녀이시다신 'n)lt 6비 [n대 기터가리히 _가계 시미 d점9 틈 플_패손t # 어리오리야산 m0  무하자 언제 NUn 가미 어기뻐터 가모니지 'V2d ToI 다스지다하7 잎: 피지:2u 시교 입사 @ 7색   ? 고요두문  y인소 스모 구입나 FL신 휴 깨어고 9 나으; Be9 되-꽤어 왜 U UI 뇌' 신a 비리Oln) '인 어고하다 [라s '내 이다 IX II '거W) 쿠르다스 커피 Olend 3eA Ue 가괜리{ # -가 ITI ( 7","밀, 대두, 계란, 우유 함유",밀|대두|계란|우유|함유,B-WHEAT|B-SOY|B-EGG|B-MILK|O,readable
test_20260614_133930_jpg.rf.936283b369c239e4469cfafd88abcacd_0.jpg,"라pa;^ 소컷끼이 5I 가 IS 5 I AIil 98na4드새} Ooh 조미기 149 김수시하다? '오리온 (주공장 비림 주 스지 둘멋 학수 '3중 식S i집망고 '식물' 발들T스트레 음@ 말 구언산  ""필말 대로 텅 구모저 해j 방움 흉업떼= 재후 개 1399 부정 ""l 릭=트 평콩; 의한 불로기통 '책장 둘하올다 곳 본사말 '반문치' WI 망고리싸다? 구 { 1ena 8 SUI 어씨 8베5 경정보 I0m 가너U)기 모심재심 '식3청으치다 직출유교 | 밀리  사가"" {립불/인요 효심복도 '밀리미시야산; '근래 소비담유 또도망 요거트분길, 0-소비물먹 물치로유 소르비단지방산-스크리 산도조전제 전끗 '예트님신 ; 문말유크림 #E미3 물린 상우지2 {방산계스템로 백설탕; 국N고기 '이스라결산 온함제제키변성전문 , 성문사 물리리지등 'S입제-3식물 (농춧무데' '꽂로필런리룹 '비져나농죽분등 행료제제방료 집입가등 '비라물태 Biiy HO '-카로켓칙색로 초료출 'Biim [0리비야켓 'z없이 (혼합제체식물성유자 9요 오징업 '불랑식품 닮고기 토미토 '피해보상 호두 '기본번에 ""습도가 낮은 소비자 511253 - Ioym   c-등c장","밀, 달걀, 우유, 대두, 복숭아, 돼지고기, 쇠고기 함유",밀|달걀|우유|대두|복숭아|돼지고기|쇠고기|함유,B-WHEAT|B-EGG|B-MILK|B-SOY|O|O|O|O,readable
test_20260614_133936_jpg.rf.e976887593a5dfdee0dfd24c75ea13b1_0.jpg,"UU F 셈 외28고 넷애 인5 없이 집$ [바비체터 소콜러껏 후 K#a부도로 어거드t시햇로 4흉y-버{ 기입까지 무고런오 {영양장보 V추ig lial 제기 치피 {경가트 직임 정주시 `구 _로l 뜨집 미로 {진; 주월 T유-팔출로움 전문유 발a로적= 톤출히 4 미실팀 T기 -무E비럽물_하-_형 망플리 핑: (h물-턱자 팀주-물 비출님신: 식- 표로문t '가공유자 봉 (방고 분말유_ 소르  단자훨신 사리- 기터호움 스_톱 미0 U스리훨신 플로등스 진경 빚 {37j5P7 0Z3"" 청트 백 감유 담 대지터 구교; 팔발: 유뜨로 쇠끼 고사( [지하 사과v 비교교t 빨- 퓨문기오자월 신 흑p 대 HACCP 두중5하다양x8 보l Z 곳 피온 커회국 한고 타스템SO '리 DAIa EWNIs DD 오기다 '부드움] I전만 {의D쉬리( '있다 I6i '방고 생명"" ImD [mmMmm 플리하 만리맛 [사훨 소비 식 정요제 '매기지하신 . '발히-@오 돌레다지훨진  기루""다 '일현세 년문 전배] 퇴지부유 | [캠어터리D-스리돌 신드조절계경 스물장우지다 ""뱉버V-기"" '출서린 '글리리지림산-스르 (농소무해 비 트스템 | 본림히자기번 '본텔적U스물성으자 내_놈-분말 ,돼짓  영리 제로 방로j품 퍼러스 _바로회직식화 [[입거등 스썹제제식물성유자 계 제릭국 'UiJsr '80TTT7: [다? 숨기  은 l신물","밀, 달걀, 우유, 대두, 복숭아, 돼지고기, 쇠고기 함유",밀|달걀|우유|대두|복숭아|돼지고기|쇠고기|함유,B-WHEAT|B-EGG|B-MILK|B-SOY|O|O|O|O,readable
test_20260614_134044_jpg.rf.3f10895ccad6ea809c916ccbf47d337d_0.jpg,"옥스다 K 09 이 mI [H 소 O 이 (O 6 거개  기) 25까지 2026, N리INa WN '제Iila GM 입소입 기인N 소새N Ved OOaliBokCa '(0EN 'io 109 없새요버 06 'Noll",인식 불가,,,unreadable
test_20260614_134056_jpg.rf.7dbf04349226ca02326439c8cb63cfd8_0.jpg,162 9 남약 매주시 coN 밀 인 애 d 엿땅 98.7 % 청제소금식물 마 [원재료명크림액 부 도덤 수소암모는 데 (설탕 제 트 따안유 스 미 k 건_ 보관방법 대로 671 수대 '반 터 보관시 시 도 이 접실 (위#' 사 대 의기 이 (망 p' 이 ^ 내용량 고구마형기지 [과사(유탕처리제품) 제며명 경기도 (주)코스모스제과 (식품뉴영 960번길다 금강로 진접움 (옆하다 CSmnS (http llwWW 후면표기일까지 '판울래 캐나다)] 소비기한 '가루[밀(미국 '유표올레인유(말레이시야산)| 토코메물(혼합형)] 당류가공품 콩비터(인도네시야신 [명 Potmto 스타 '글리세라지방산에 물 '생어노로로제 '양파액기스CM 코고아블 스6; 말투 (간미 [뽑안 곳예 '바로 '리에터레(내 4113 11986033205148 OBo 국심상 치하 ? 실해 세a 구입지 주의시입 선쥐 기다 (기뻐 통,"밀, 우유, 대두, 땅콩 함유",밀|우유|대두|땅콩|함유,B-WHEAT|B-MILK|B-SOY|B-PEANUT|O,readable
